Asset ID,Catalogue Number,Catalogue Description,User Defined Text Box1,UOMDescription,Total Quantity Reserved,Stock On Hand
129043,WIM0001031,150-PC-015A/B/ TSP 6X3-17/ Mechanical SEAL,3305,Set,0.0000000,1.0000000
129044,WIM0001032,150-PC-016/ TSP 2X1-9LE/ Mechanical SEAL,3306,Set,0.0000000,1.0000000
129046,WIM0001034,150-PC-018A/B/ TSP 6X3-17/ Mechanical SEAL,3308,Set,0.0000000,1.0000000
129047,WIM0001035,150-PC-019A/B/ TSP 3X2-15/ Mechanical SEAL,3309,Set,0.0000000,1.0000000
129048,WIM0001036,150-PC-020A/B/ TDP 12X10-26/ Mechanical SEAL (DE&NDE),3324,Set,0.0000000,0.0000000
129049,WIM0001037,150-PC-020A/B/ TDP 12X10-26/ WEAR RING SET (CASING&IMPELLER),3276,Set,0.0000000,1.0000000
129050,WIM0001038,150-PC-050A/B/ TSP 2X1-11A/ Mechanical SEAL,3300,Set,0.0000000,1.0000000
129051,WIM0001039,"160-PC-001A/B/ RSMP 3X1,5-11, 7S/ WEAR RING SET (CASING&IMPELLER)",3280,Set,0.0000000,1.0000000
129052,WIM0001040,165855-14-RU Pressure XDCR,3726,Each,0.0000000,2.0000000
129053,WIM0001041,"171-PC-002A/B/ DAP 3X1,5-10/ Mechanical SEAL",3341,Set,0.0000000,1.0000000
129054,WIM0001042,171-PC-003A/B/ TSP 6X4-11/ Mechanical SEAL,3342,Set,0.0000000,1.0000000
129055,WIM0001043,171-PC-004A/B/C/ TSP 8X6-11/ Mechanical SEAL,3343,Set,0.0000000,1.0000000
129056,WIM0001044,171-PC-006A/B/ DAP 6X4-10H/ Mechanical SEAL,3344,Set,0.0000000,1.0000000
129057,WIM0001045,171-PC-007A/B/ TSP 10X8-21A/ Mechanical SEAL,3345,Set,0.0000000,1.0000000
129058,WIM0001046,171-PC-008A/B/ DAP 4X3-10/ Mechanical SEAL,3346,Set,0.0000000,1.0000000
129059,WIM0001047,171-PC-011A/B/ TSP 10X8-21A/ Mechanical SEAL,3347,Set,0.0000000,1.0000000
129060,WIM0001048,171-PC-013A/B/ TSP 12X10-23A/ Mechanical SEAL,3348,Set,0.0000000,1.0000000
129061,WIM0001049,172-PC-001A/B/ TSP 8X6-23A/ Mechanical SEAL,3349,Set,0.0000000,1.0000000
129062,WIM0001050,172-PC-002A/B/C/ RSMP-B 12X10-15/ Mechanical SEAL (DE&NDE),3358,Set,0.0000000,3.0000000
129063,WIM0001051,172-PC-005A/B/C/ TDP 10X8-17/ WEAR RING SET (CASING&IMPELLER),3277,Set,0.0000000,1.0000000
129064,WIM0001052,172-PC-005A/B/C/ TDSP 10X8-17/ Mechanical SEAL (DE&NDE),3325,Set,0.0000000,1.0000000
129065,WIM0001053,172-PC-008A/B/ TSP 6X4-17/ Mechanical SEAL,3350,Set,0.0000000,1.0000000
129066,WIM0001054,174-PC-001A/B/C/D/ DSV 38X32-44/ Mechanical SEAL,3353,Set,0.0000000,2.0000000
129067,WIM0001055,176-PC-006A/B/ TSP 6X3-17/ Mechanical SEAL,3351,Set,0.0000000,1.0000000
129068,WIM0001056,176-PC-019A/B/ DAP 4X3-8/Mechanical SEAL,3352,Set,0.0000000,1.0000000
129069,WIM0001057,176-PC-031A/B/ TVSP 6X3-9/ Mechanical SEAL,3334,Set,0.0000000,1.0000000
129070,WIM0001058,176-PC-032A/B/ TVSP 6X3-9/ Mechanical SEAL,3335,Set,0.0000000,1.0000000
129071,WIM0001059,176-PC-033A/B/C/ TVSP 6X3-9/ Mechanical SEAL,3336,Set,0.0000000,1.0000000
129072,WIM0001060,176-PC-034A/B/ TVSP 6X3-9/ Mechanical SEAL,3337,Set,0.0000000,1.0000000
129073,WIM0001061,176-PC-035A/B/ TVSP 6X3-9/ Mechanical SEAL,3338,Set,0.0000000,1.0000000
129074,WIM0001062,176-PC-036A/B/ TVSP 6X3-9/ Mechanical SEAL,3339,Set,0.0000000,1.0000000
129075,WIM0001063,177230-01-01-RU SEISMIC TRANSMITTER,3737,Each,0.0000000,0.0000000
129076,WIM0001064,"181-PC-001A/B/ TVCP 4X3-8, 3S/ Mechanical SEAL",3331,Set,0.0000000,1.0000000
129077,WIM0001065,"183-PC-001/ TVCP 6X4-12, 5S/ Mechanical SEAL",3332,Set,0.0000000,1.0000000
129078,WIM0001066,"183-PC-002/ TVCP 6X4-12, 4S/ Mechanical SEAL",3333,Set,0.0000000,1.0000000
129079,WIM0001067,"183-PC-003A/B/ TVCP 6X4-12, 4S/ Mechanical SEAL",3330,Set,0.0000000,1.0000000
129080,WIM0001068,"183-PC-004/ TVCP 8X6-6, 8S/ Mechanical SEAL",3329,Set,0.0000000,1.0000000
129081,WIM0001069,183-PC-005A/B/ TDSP 8X4-22/ Mechanical SEAL (DE&NDE),3326,Set,0.0000000,1.0000000
129082,WIM0001070,183-PC-005A/B/ TDSP 8X4-22/ WEAR RING SET (CASING&IMPELLER),3278,Set,0.0000000,1.0000000
129083,WIM0001071,183-PC-006/ TSP 4X3-9/ Mechanical SEAL,3310,Set,0.0000000,1.0000000
129084,WIM0001072,"183-PC-007/ RSMP 3X1,5-11, 7S/ WEAR RING SET (CASING&IMPELLER)",3279,Set,0.0000000,1.0000000
129085,WIM0001073,184-PC-001A/B/ TSP 12X10-23B/ Mechanical SEAL,3354,Set,0.0000000,1.0000000
129086,WIM0001074,184-PC-001A/B/ TSP 12X10-23B/ WEAR RING SET (CASING&IMPELLER),3281,Set,0.0000000,1.0000000
129087,WIM0001075,184-PC-002A/B/ TSP 12X10X23B/ Mechanical SEAL,3355,Set,0.0000000,1.0000000
129088,WIM0001076,184-PC-003A/B/ TDSP 16X12-23/ Mechanical SEAL (DE&NDE),3356,Set,0.0000000,1.0000000
129089,WIM0001077,184-PC-003A/B/ TDSP 16X12-23/ WEAR RING SET (CASING&IMPELLER),3282,Set,0.0000000,1.0000000
129090,WIM0001078,184-PC-006/ TSP 6X3-19/ Mechanical SEAL,3311,Set,0.0000000,1.0000000
