Asset ID,Parent Asset ID,Asset Description,Asset Number
96298,95063,TRANSMITTER_DP FLOW,120-FT-1050B
96299,95063,TRANSMITTER_DP FLOW,120-FT-1050C
96300,95063,CONTROL VALVE,120-FV-1050
96307,95063,TRANSMITTER_DP ,120-PDT-1070A
96308,95063,TRANSMITTER_DP ,120-PDT-1070B
96309,95063,TRANSMITTER_DP ,120-PDT-1070C
96332,95063,FLOW ELEMENT,120-FE-1090
96333,95063,TRANSMITTER_DP FLOW,120-FT-1090
96334,95063,TRANSMITTER_DP FLOW,120-FT-1091
96336,95063,FLOW ELEMENT,120-FE-1092
96337,95063,TRANSMITTER_DP FLOW,120-FT-1092A
96338,95063,TRANSMITTER_DP FLOW,120-FT-1092B
96339,95063,TRANSMITTER_DP FLOW,120-FT-1092C
96341,95063,FLOW ELEMENT,120-FE-1093
96342,95063,TRANSMITTER_DP FLOW,120-FT-1093
96344,95063,TRANSMITTER_DP FLOW,120-FT-1094
96345,95063,CONTROL VALVE,120-FXV-1094
96347,95063,TRANSMITTER_PRESSURE,120-PT-1109
96349,95063,TRANSMITTER_PRESSURE,120-PT-1111
96355,95063,TRANSMITTER_TEMPERATURE,120-TT-1112
96356,95063,ON-OFF VALVE,120-XV-1091
96364,95063,ON-OFF VALVE,120-XV-1093
96370,95063,PRESSURE GAUGE,120-PG-1117
96426,95063,PRESSURE GAUGE,120-PG-1112
95067,95064,S.H.P STEAM SILENCER,120-XS-202
95069,95064,OXYGEN SILNCER,120-XS-203
96896,95064,PRESSURE GAUGE,120-PG-2069
97236,95064,TRANSMITTER_DP FLOW,120-FT-2050A
97237,95064,TRANSMITTER_DP FLOW,120-FT-2050B
97238,95064,TRANSMITTER_DP FLOW,120-FT-2050C
97239,95064,CONTROL VALVE,120-FV-2050
97240,95064,MANUAL VALVE,120-HV-2048
97246,95064,TRANSMITTER_DP ,120-PDT-2070A
97247,95064,TRANSMITTER_DP ,120-PDT-2070B
97248,95064,TRANSMITTER_DP ,120-PDT-2070C
97284,95064,CONTROL VALVE,120-FXV-2094
97286,95064,TRANSMITTER_PRESSURE,120-PT-2109
97288,95064,TRANSMITTER_PRESSURE,120-PT-2111
97294,95064,TRANSMITTER_TEMPERATURE,120-TT-2112
97295,95064,ON-OFF VALVE,120-XV-2091
97303,95064,ON-OFF VALVE,120-XV-2093
